ledger_id,payment_id,bank_amount,bank_date,bank_status,bank_reference
LED-00039,PAY-00039,20241.54,2026-08-19,posted,BANK-00000039
LED-00040,PAY-00040,357.23,2026-08-16,posted,BANK-00000040
LED-00041,PAY-00041,34905.43,2026-08-20,reversed,BANK-00000041
LED-00042,PAY-00042,11080.62,2026-08-06,posted,BANK-00000042
LED-00043,PAY-00043,2744.58,2026-08-18,posted,BANK-00000043
LED-00044,PAY-00044,3658.94,2026-08-06,posted,BANK-00000044
LED-00045,PAY-00045,12499.21,2026-08-24,posted,BANK-00000045
LED-00046,PAY-00046,32954.31,2026-08-28,posted,BANK-00000046
LED-00047,PAY-00047,12124.63,2026-08-17,posted,BANK-00000047
LED-00048,PAY-00048,15979.82,2026-08-06,posted,BANK-00000048
LED-00049,PAY-00049,26997.31,2026-08-19,posted,BANK-00000049
LED-00050,PAY-00050,43993.69,2026-08-14,posted,BANK-00000050
LED-00052,PAY-00052,46737.14,2026-08-07,posted,BANK-00000052
LED-00053,PAY-00053,14267.37,2026-08-09,posted,BANK-00000053
LED-00054,PAY-00054,24554.46,2026-08-06,posted,BANK-00000054
LED-00055,PAY-00055,2443.32,2026-08-15,posted,BANK-00000055
LED-00056,PAY-00056,37126.24,2026-08-22,posted,BANK-00000056
LED-00057,PAY-00057,3681.25,2026-08-08,posted,BANK-00000057
LED-00058,PAY-00058,6590.41,2026-08-12,posted,BANK-00000058
LED-00059,PAY-00059,34182.82,2026-08-08,posted,BANK-00000059
LED-00060,PAY-00060,37536.51,2026-08-10,posted,BANK-00000060
LED-00061,PAY-00061,9173.19,2026-08-15,posted,BANK-00000061
LED-00062,PAY-00062,8170.09,2026-08-06,posted,BANK-00000062
LED-00063,PAY-00063,10178.75,2026-08-18,posted,BANK-00000063
LED-00064,PAY-00064,1427.31,2026-08-10,posted,BANK-00000064
LED-00065,PAY-00065,48215.57,2026-08-13,posted,BANK-00000065
LED-00066,PAY-00066,5988.25,2026-08-13,posted,BANK-00000066
LED-00067,PAY-00067,5643.03,2026-08-18,posted,BANK-00000067
LED-00069,PAY-00069,2458.23,2026-08-23,posted,BANK-00000069
LED-00070,PAY-00070,21707.05,2026-08-15,posted,BANK-00000070
LED-00071,PAY-00071,25479.34,2026-08-17,posted,BANK-00000071
LED-00072,PAY-00072,6582.57,2026-08-18,posted,BANK-00000072
LED-00073,PAY-00073,28562.99,2026-08-16,posted,BANK-00000073
LED-00074,PAY-00074,21636.94,2026-08-30,posted,BANK-00000074
LED-00075,PAY-00075,33862.45,2026-08-21,posted,BANK-00000075
LED-00076,PAY-00076,13950.08,2026-08-23,posted,BANK-00000076
LED-00077,PAY-00077,11425.87,2026-08-09,posted,BANK-00000077
LED-00078,PAY-00078,49085.50,2026-08-23,posted,BANK-00000078
LED-00079,PAY-00079,24845.26,2026-08-12,posted,BANK-00000079
LED-00080,PAY-00080,38976.42,2026-08-12,posted,BANK-00000080
LED-00081,PAY-00081,27980.94,2026-08-06,posted,BANK-00000081
LED-00082,PAY-00082,49397.65,2026-08-23,reversed,BANK-00000082
LED-00083,PAY-00083,22434.20,2026-08-09,posted,BANK-00000083
LED-00084,PAY-00084,42033.18,2026-08-13,posted,BANK-00000084
LED-00086,PAY-00086,44678.08,2026-08-05,posted,BANK-00000086
LED-00087,PAY-00087,34774.00,2026-08-10,posted,BANK-00000087
LED-00088,PAY-00088,27244.90,2026-08-16,posted,BANK-00000088
LED-00089,PAY-00089,45265.71,2026-08-23,posted,BANK-00000089
LED-00090,PAY-00090,543.33,2026-08-15,posted,BANK-00000090
LED-00091,PAY-00091,37368.43,2026-08-21,posted,BANK-00000091
LED-00092,PAY-00092,1693.98,2026-08-20,posted,BANK-00000092
LED-00093,PAY-00093,45997.20,2026-08-23,posted,BANK-00000093
LED-00094,PAY-00094,32226.79,2026-08-07,posted,BANK-00000094
LED-00095,PAY-00095,18908.54,2026-08-10,posted,BANK-00000095
LED-00096,PAY-00096,37662.49,2026-08-16,posted,BANK-00000096
LED-00097,PAY-00097,37513.96,2026-08-04,posted,BANK-00000097
LED-00098,PAY-00098,37773.10,2026-08-10,posted,BANK-00000098
LED-00099,PAY-00099,6529.49,2026-08-07,posted,BANK-00000099
LED-00100,PAY-00100,8597.51,2026-08-22,posted,BANK-00000100
LED-00101,PAY-00101,29039.57,2026-08-13,posted,BANK-00000101
LED-00103,PAY-00103,40325.02,2026-08-22,posted,BANK-00000103
LED-00104,PAY-00104,3465.20,2026-08-23,posted,BANK-00000104
LED-00105,PAY-00105,21817.79,2026-08-16,posted,BANK-00000105
LED-00106,PAY-00106,9012.81,2026-08-21,posted,BANK-00000106
LED-00107,PAY-00107,21919.83,2026-08-22,posted,BANK-00000107
LED-00108,PAY-00108,14126.68,2026-08-18,posted,BANK-00000108
LED-00109,PAY-00109,1677.82,2026-08-14,posted,BANK-00000109
LED-00110,PAY-00110,39942.16,2026-08-15,posted,BANK-00000110
LED-00111,PAY-00111,755.02,2026-08-17,posted,BANK-00000111
LED-00112,PAY-00112,27870.02,2026-08-12,posted,BANK-00000112
LED-00113,PAY-00113,39698.41,2026-08-05,posted,BANK-00000113
LED-00114,PAY-00114,15184.69,2026-08-22,posted,BANK-00000114
LED-00115,PAY-00115,49832.42,2026-08-27,posted,BANK-00000115
LED-00116,PAY-00116,15504.49,2026-08-12,posted,BANK-00000116
LED-00117,PAY-00117,6128.08,2026-08-20,posted,BANK-00000117
LED-00118,PAY-00118,36298.10,2026-08-19,posted,BANK-00000118
LED-00120,PAY-00120,2514.41,2026-08-06,posted,BANK-00000120
