settlement_id,payment_id,settled_amount,settlement_date,settlement_status,reference
SET-00079,PAY-00079,24845.26,2026-08-11,settled,BANKREF-0000079
SET-00080,PAY-00080,38976.42,2026-08-11,settled,BANKREF-0000080
SET-00081,PAY-00081,27980.94,2026-08-05,settled,BANKREF-0000081
SET-00082,PAY-00082,49397.65,2026-08-22,settled,BANKREF-0000082
SET-00083,PAY-00083,22434.20,2026-08-08,settled,BANKREF-0000083
SET-00084,PAY-00084,42033.18,2026-08-12,settled,BANKREF-0000084
SET-00086,PAY-00086,44678.08,2026-08-04,settled,BANKREF-0000086
SET-00087,PAY-00087,34774.00,2026-08-09,settled,BANKREF-0000087
SET-DUP-00087,PAY-00087,34774.00,2026-08-10,settled,BANKREF-DUP-0000087
SET-00088,PAY-00088,27244.90,2026-08-15,settled,BANKREF-0000088
SET-00089,PAY-00089,45265.71,2026-08-22,settled,BANKREF-0000089
SET-00090,PAY-00090,543.33,2026-08-14,settled,BANKREF-0000090
SET-00091,PAY-00091,37438.90,2026-08-20,settled,BANKREF-0000091
SET-00092,PAY-00092,1693.98,2026-08-19,settled,BANKREF-0000092
SET-00093,PAY-00093,45997.20,2026-08-22,settled,BANKREF-0000093
SET-00094,PAY-00094,32226.79,2026-08-06,settled,BANKREF-0000094
SET-00095,PAY-00095,18908.54,2026-08-09,settled,BANKREF-0000095
SET-00096,PAY-00096,37662.49,2026-08-15,settled,BANKREF-0000096
SET-00097,PAY-00097,37513.96,2026-08-03,settled,BANKREF-0000097
SET-00098,PAY-00098,37773.10,2026-08-09,settled,BANKREF-0000098
SET-00099,PAY-00099,6529.49,2026-08-06,settled,BANKREF-0000099
SET-00100,PAY-00100,8597.51,2026-08-21,settled,BANKREF-0000100
SET-00101,PAY-00101,29039.57,2026-08-12,settled,BANKREF-0000101
SET-00103,PAY-00103,40325.02,2026-08-21,settled,BANKREF-0000103
SET-00104,PAY-00104,3680.60,2026-08-22,settled,BANKREF-0000104
SET-00105,PAY-00105,21817.79,2026-08-15,settled,BANKREF-0000105
SET-00106,PAY-00106,9012.81,2026-08-20,settled,BANKREF-0000106
SET-00107,PAY-00107,21919.83,2026-08-21,settled,BANKREF-0000107
SET-00108,PAY-00108,14126.68,2026-08-17,settled,BANKREF-0000108
SET-00109,PAY-00109,1677.82,2026-08-13,settled,BANKREF-0000109
SET-00110,PAY-00110,39942.16,2026-08-14,settled,BANKREF-0000110
SET-00111,PAY-00111,755.02,2026-08-08,settled,BANKREF-0000111
SET-00112,PAY-00112,27870.02,2026-08-11,settled,BANKREF-0000112
SET-00113,PAY-00113,39698.41,2026-08-04,settled,BANKREF-0000113
SET-00114,PAY-00114,15184.69,2026-08-21,settled,BANKREF-0000114
SET-00115,PAY-00115,49832.42,2026-08-26,settled,BANKREF-0000115
SET-00116,PAY-00116,15504.49,2026-08-11,settled,BANKREF-0000116
SET-DUP-00116,PAY-00116,15504.49,2026-08-12,settled,BANKREF-DUP-0000116
SET-00117,PAY-00117,6197.85,2026-08-19,settled,BANKREF-0000117
SET-00118,PAY-00118,36298.10,2026-08-18,settled,BANKREF-0000118
SET-00120,PAY-00120,2514.41,2026-08-05,settled,BANKREF-0000120
