payment_id,merchant_id,customer_id,order_id,amount,currency,payment_status,payment_date,payment_method,fee,tax,net_expected
PAY-00040,MER-002,CUS-0049,ORD-000040,357.23,INR,captured,2026-08-13,netbanking,6.43,1.16,349.64
PAY-00041,MER-003,CUS-0055,ORD-000041,34905.43,INR,captured,2026-08-18,wallet,628.30,113.09,34164.04
PAY-00042,MER-002,CUS-0038,ORD-000042,11080.62,INR,captured,2026-08-02,card,199.45,35.90,10845.27
PAY-00043,MER-003,CUS-0008,ORD-000043,2744.58,INR,captured,2026-08-16,upi,49.40,8.89,2686.29
PAY-00044,MER-001,CUS-0024,ORD-000044,3658.94,INR,captured,2026-08-03,upi,65.86,11.85,3581.23
PAY-00045,MER-001,CUS-0073,ORD-000045,12499.21,INR,captured,2026-08-20,card,224.99,40.50,12233.72
PAY-00046,MER-001,CUS-0054,ORD-000046,32954.31,INR,captured,2026-08-19,netbanking,593.18,106.77,32254.36
PAY-00047,MER-002,CUS-0041,ORD-000047,12124.63,INR,captured,2026-08-13,upi,218.24,39.28,11867.11
PAY-00048,MER-003,CUS-0059,ORD-000048,15979.82,INR,captured,2026-08-03,card,287.64,51.78,15640.40
PAY-00049,MER-001,CUS-0010,ORD-000049,26997.31,INR,captured,2026-08-17,netbanking,485.95,87.47,26423.89
PAY-00050,MER-003,CUS-0009,ORD-000050,43993.69,INR,captured,2026-08-12,netbanking,791.89,142.54,43059.26
PAY-00051,MER-004,CUS-0070,ORD-000051,35251.11,INR,captured,2026-08-20,card,634.52,114.21,34502.38
PAY-00052,MER-003,CUS-0014,ORD-000052,46961.77,INR,captured,2026-08-05,netbanking,845.31,152.16,45964.30
PAY-00053,MER-002,CUS-0035,ORD-000053,14267.37,INR,captured,2026-08-07,netbanking,256.81,46.23,13964.33
PAY-00054,MER-003,CUS-0065,ORD-000054,24554.46,INR,captured,2026-08-02,card,441.98,79.56,24032.92
PAY-00055,MER-004,CUS-0036,ORD-000055,2443.32,INR,captured,2026-08-11,upi,43.98,7.92,2391.42
PAY-00056,MER-003,CUS-0021,ORD-000056,37126.24,INR,captured,2026-08-18,wallet,668.27,120.29,36337.68
PAY-00057,MER-001,CUS-0015,ORD-000057,3993.38,INR,captured,2026-08-05,card,71.88,12.94,3908.56
PAY-00058,MER-002,CUS-0056,ORD-000058,6590.41,INR,captured,2026-08-10,netbanking,118.63,21.35,6450.43
PAY-00059,MER-003,CUS-0027,ORD-000059,34182.82,INR,captured,2026-08-04,netbanking,615.29,110.75,33456.78
PAY-00060,MER-004,CUS-0080,ORD-000060,37536.51,INR,captured,2026-08-08,upi,675.66,121.62,36739.23
PAY-00061,MER-004,CUS-0004,ORD-000061,9173.19,INR,captured,2026-08-11,wallet,165.12,29.72,8978.35
PAY-00062,MER-002,CUS-0035,ORD-000062,8170.09,INR,captured,2026-08-04,wallet,147.06,26.47,7996.56
PAY-00063,MER-004,CUS-0029,ORD-000063,10178.75,INR,captured,2026-08-15,netbanking,183.22,32.98,9962.55
PAY-00064,MER-002,CUS-0029,ORD-000064,1427.31,INR,captured,2026-08-07,wallet,25.69,4.62,1397.00
PAY-00065,MER-003,CUS-0009,ORD-000065,48352.73,INR,captured,2026-08-09,netbanking,870.35,156.66,47325.72
PAY-00066,MER-003,CUS-0004,ORD-000066,5988.25,INR,captured,2026-08-09,upi,107.79,19.40,5861.06
PAY-00067,MER-003,CUS-0005,ORD-000067,5643.03,INR,captured,2026-08-14,netbanking,101.57,18.28,5523.18
PAY-00068,MER-003,CUS-0056,ORD-000068,30408.89,INR,captured,2026-08-17,card,547.36,98.52,29763.01
PAY-00069,MER-002,CUS-0033,ORD-000069,2458.23,INR,captured,2026-08-14,card,44.25,7.96,2406.02
PAY-00070,MER-002,CUS-0047,ORD-000070,21707.05,INR,captured,2026-08-11,netbanking,390.73,70.33,21245.99
PAY-00071,MER-001,CUS-0039,ORD-000071,25479.34,INR,captured,2026-08-14,netbanking,458.63,82.55,24938.16
PAY-00072,MER-003,CUS-0071,ORD-000072,6582.57,INR,captured,2026-08-14,wallet,118.49,21.33,6442.75
PAY-00073,MER-002,CUS-0079,ORD-000073,28562.99,INR,captured,2026-08-13,card,514.13,92.54,27956.32
PAY-00074,MER-003,CUS-0027,ORD-000074,21636.94,INR,captured,2026-08-19,netbanking,389.46,70.10,21177.38
PAY-00075,MER-004,CUS-0057,ORD-000075,33862.45,INR,captured,2026-08-17,wallet,609.52,109.71,33143.22
PAY-00076,MER-002,CUS-0011,ORD-000076,14368.37,INR,captured,2026-08-21,netbanking,258.63,46.55,14063.19
PAY-00077,MER-002,CUS-0040,ORD-000077,11425.87,INR,captured,2026-08-07,upi,205.67,37.02,11183.18
PAY-00078,MER-001,CUS-0032,ORD-000078,49200.82,INR,captured,2026-08-20,card,885.61,159.41,48155.80
PAY-00079,MER-002,CUS-0050,ORD-000079,24845.26,INR,captured,2026-08-08,upi,447.21,80.50,24317.55
PAY-00080,MER-001,CUS-0014,ORD-000080,38976.42,INR,captured,2026-08-08,upi,701.58,126.28,38148.56
PAY-00081,MER-004,CUS-0007,ORD-000081,27980.94,INR,captured,2026-08-04,wallet,503.66,90.66,27386.62
PAY-00082,MER-004,CUS-0068,ORD-000082,49397.65,INR,captured,2026-08-20,netbanking,889.16,160.05,48348.44
PAY-00083,MER-004,CUS-0071,ORD-000083,22434.20,INR,captured,2026-08-06,wallet,403.82,72.69,21957.69
PAY-00084,MER-003,CUS-0032,ORD-000084,42033.18,INR,captured,2026-08-09,wallet,756.60,136.19,41140.39
PAY-00085,MER-002,CUS-0036,ORD-000085,22133.66,INR,captured,2026-08-10,upi,398.41,71.71,21663.54
PAY-00086,MER-003,CUS-0041,ORD-000086,44678.08,INR,captured,2026-08-03,upi,804.21,144.76,43729.11
PAY-00087,MER-002,CUS-0050,ORD-000087,34774.00,INR,captured,2026-08-07,card,625.93,112.67,34035.40
PAY-00088,MER-004,CUS-0043,ORD-000088,27244.90,INR,captured,2026-08-14,card,490.41,88.27,26666.22
PAY-00089,MER-004,CUS-0050,ORD-000089,45265.71,INR,captured,2026-08-19,card,814.78,146.66,44304.27
PAY-00090,MER-004,CUS-0062,ORD-000090,543.33,INR,captured,2026-08-12,netbanking,9.78,1.76,531.79
PAY-00091,MER-004,CUS-0069,ORD-000091,37438.90,INR,captured,2026-08-18,upi,673.90,121.30,36643.70
PAY-00092,MER-004,CUS-0063,ORD-000092,1693.98,INR,captured,2026-08-11,wallet,30.49,5.49,1658.00
PAY-00093,MER-002,CUS-0060,ORD-000093,45997.20,INR,captured,2026-08-20,card,827.95,149.03,45020.22
PAY-00094,MER-001,CUS-0011,ORD-000094,32226.79,INR,captured,2026-08-05,wallet,580.08,104.41,31542.30
PAY-00095,MER-001,CUS-0034,ORD-000095,19110.42,INR,captured,2026-08-07,wallet,343.99,61.92,18704.51
PAY-00096,MER-004,CUS-0036,ORD-000096,37662.49,INR,captured,2026-08-14,netbanking,677.92,122.03,36862.54
PAY-00097,MER-004,CUS-0003,ORD-000097,37513.96,INR,captured,2026-08-02,netbanking,675.25,121.55,36717.16
PAY-00098,MER-001,CUS-0006,ORD-000098,37773.10,INR,captured,2026-08-08,upi,679.92,122.39,36970.79
PAY-00099,MER-002,CUS-0031,ORD-000099,6529.49,INR,captured,2026-08-04,upi,117.53,21.16,6390.80
PAY-00100,MER-003,CUS-0048,ORD-000100,8597.51,INR,captured,2026-08-20,card,154.76,27.86,8414.89
PAY-00101,MER-003,CUS-0014,ORD-000101,29039.57,INR,captured,2026-08-10,wallet,522.71,94.09,28422.77
PAY-00102,MER-002,CUS-0010,ORD-000102,29706.87,INR,captured,2026-08-21,upi,534.72,96.25,29075.90
PAY-00103,MER-003,CUS-0077,ORD-000103,40325.02,INR,captured,2026-08-19,card,725.85,130.65,39468.52
PAY-00104,MER-004,CUS-0048,ORD-000104,3680.60,INR,captured,2026-08-21,netbanking,66.25,11.92,3602.43
PAY-00105,MER-004,CUS-0014,ORD-000105,21817.79,INR,captured,2026-08-12,wallet,392.72,70.69,21354.38
PAY-00106,MER-002,CUS-0056,ORD-000106,9012.81,INR,captured,2026-08-17,netbanking,162.23,29.20,8821.38
PAY-00107,MER-004,CUS-0060,ORD-000107,21919.83,INR,captured,2026-08-19,netbanking,394.56,71.02,21454.25
PAY-00108,MER-002,CUS-0012,ORD-000108,14126.68,INR,captured,2026-08-15,upi,254.28,45.77,13826.63
PAY-00109,MER-004,CUS-0044,ORD-000109,1677.82,INR,captured,2026-08-11,upi,30.20,5.44,1642.18
PAY-00110,MER-002,CUS-0046,ORD-000110,39942.16,INR,captured,2026-08-11,netbanking,718.96,129.41,39093.79
PAY-00111,MER-003,CUS-0072,ORD-000111,755.02,INR,captured,2026-08-07,card,13.59,2.45,738.98
PAY-00112,MER-004,CUS-0063,ORD-000112,27870.02,INR,captured,2026-08-08,wallet,501.66,90.30,27278.06
PAY-00113,MER-004,CUS-0058,ORD-000113,39698.41,INR,captured,2026-08-03,netbanking,714.57,128.62,38855.22
PAY-00114,MER-004,CUS-0032,ORD-000114,15483.75,INR,captured,2026-08-19,netbanking,278.71,50.17,15154.87
PAY-00115,MER-003,CUS-0055,ORD-000115,49832.42,INR,captured,2026-08-18,netbanking,896.98,161.46,48773.98
PAY-00116,MER-004,CUS-0035,ORD-000116,15504.49,INR,captured,2026-08-08,card,279.08,50.23,15175.18
PAY-00117,MER-002,CUS-0041,ORD-000117,6197.85,INR,captured,2026-08-18,upi,111.56,20.08,6066.21
PAY-00118,MER-004,CUS-0036,ORD-000118,36298.10,INR,captured,2026-08-17,netbanking,653.37,117.61,35527.12
PAY-00119,MER-002,CUS-0038,ORD-000119,11567.29,INR,captured,2026-08-06,netbanking,208.21,37.48,11321.60
PAY-00120,MER-002,CUS-0036,ORD-000120,2514.41,INR,captured,2026-08-02,netbanking,45.26,8.15,2461.00
